NAME,TYPE,LOCATION,
"Application Insights Smart Detection","Action group","Global"
"ASP-rgMemiLaviReadITApp-99db","App Service plan","Central India"
"Catalog-VM","Virtual machine","Central India"
"Catalog-VM-ip","Public IP address","Central India"
"Catalog-VM-nsg","Network security group","Central India"
"catalog-vm353","Network Interface","Central India"
"Catalog-VM_OsDisk_1_e2f5328019f0483ead8d5aff469a11ba","Disk","Central India"
"CatalogVMnsg465","Network security group","Central India"
"CentralIndiaPlan","App Service plan","Central India"
"CPU Usage Percentage - readit-card-aks","Metric alert rule","Global"
"Failure Anomalies - sb-readit-inventory","Smart detector alert rule","Global"
"Failure Anomalies - sb-readit-inventory-secondary","Smart detector alert rule","Global"
"Failure Anomalies - sbreaditfunctionapp","Smart detector alert rule","Global"
"High CPU Utilization","Metric alert rule","Global"
"log-redaitapp-ws","Log Analytics workspace","Central India"
"Memory Working Set Percentage - readit-card-aks","Metric alert rule","Global"
"MSCI-centralindia-readit-card-aks","Data collection rule","Central India"
"opderstopic","Event Grid System Topic","Central India"
"privatelink.vaultcore.azure.net","Private DNS zone","Global"
"readit-app-gw-ip","Public IP address","Central India"
"readit-app-vnet","Virtual network","Central India"
"readit-appgw-vent","Virtual network","Central India"
"ReadIT-DB (sb-readit-dbserver/ReadIT-DB)","SQL database","Central India"
"readit-sb-kv","Key vault","Central India"
"readitapp-gw","Application gateway","Central India"
"readitappfunctionstorage","Storage account","Central India"
"readitorderssb","Storage account","Central India"
"RecommendedAlertRules-AG-1","Action group","Global"
"sb-readit-cosmosdb","Azure Cosmos DB account","Central India"
"sb-readit-dbserver","SQL server","Central India"
"sb-readit-inventory","Application Insights","Central India"
"sb-readit-inventory","App Service","Central India"
"sb-readit-inventory-secondary","Application Insights","East US"
"sbreaditfunctionapp","Application Insights","Central India"
"sbreaditfunctionapp","Function App","Central India"
"sbreaditredis","Azure Cache for Redis","Central India"
"SUBHASISH-AG","Action group","Global"
"vault-pe","Private endpoint","Central India"
"vault-pe.nic.f635cf58-3d25-4edb-8d8d-b379aa5cbd0a","Network Interface","Central India"
"VMInsights(log-redaitapp-ws)","Solution","Central India"
"weather-subnet-nsg","Network security group","Central India"
"weather-vm","Virtual machine","Central India"
"weather-vm-ip","Public IP address","Central India"
"weather-vm-nsg","Network security group","Central India"
"weather-vm352","Network Interface","Central India"
"weather-vm_disk1_c85b0f35cd8242598e0044e7aeff7353","Disk","Central India"
"weather-vnet","Virtual network","Central India"
"weathervmnsg173","Network security group","Central India"
"weathervmnsg655","Network security group","Central India"